□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
서울특별시,서8-5,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,성북구,성북동 323,대지,평탄지,1981.10.27,265,307,1200,101,320,,,,,,
서울특별시,서8-6,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,성북구,성북동 323,대지,평탄지,1981.10.27,265,307,1200,79,250,,,,,,
서울특별시,서8-7,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,성북구,정릉동 508,임야,경사지,1981.10.27,165,207,1700,101,320,,,,,,
서울특별시,서8-8,1,노거목,풍치목,향나무,향나무,Juniperus chinensis Linnaeus,성북구,장위동 223-33,대지,평탄지,2004.12.27,200,219,1000,76,240,,,,,,
서울특별시,서9-1,1,노거목,명목,느티나무,느티나무,Zelkova Tree ,강북구,수유동 산 164-5,임야,평탄지,1981.10.27,415,457,2050,114,360,,,,,,
서울특별시,서9-2,1,노거목,명목,느티나무,느티나무,Zelkova Tree ,강북구,수유동 산 164-5,임야,평탄지,1981.10.27,415,457,2800,114,360,,,,,,
서울특별시,서9-5,1,노거목,명목,느티나무,느티나무,Zelkova Tree ,강북구,수유동 458-1,공원,평탄지,2006.07.13,120,137,1770,114,360,,,,,,
서울특별시,서10-1,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba L.,도봉구,방학동 546,공,평탄지,1968.02.26,830,885,2500,249,1070,,,,,,
서울특별시,서10-2,1,노거목,정자목,느티나무,느티나무,Zelkova serrata MAKINO,도봉구,도봉동 512 (서원터),종,평탄지,1980.12.22,215,258,1800,191,600,,,,,,
서울특별시,서10-3,1,노거목,당산목,느티나무,느티나무,Zelkova serrata MAKINO,도봉구,도봉동 534-1 (무수골),임,평탄지,1981.10.27,215,257,2200,118,370,,,,,,
서울특별시,서10-4,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba L.,도봉구,도봉동 401-2,대,평탄지,1981.10.27,165,207,1800,61,190,,,,,,
서울특별시,서10-5,1,노거목,정자목,느티나무,느티나무,Zelkova serrata MAKINO,도봉구,도봉동 401-2,대,평탄지,1981.10.27,215,257,1700,121,380,,,,,,
서울특별시,서10-6,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO,도봉구,도봉동 445-3,구,평탄지,2012.01.05,300,311,1900,190,600,,,,,,
서울특별시,서11-1,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba,노원구,중계동 산36-2,임야,평탄지,1971.10.12,625,677,3300,289,910,,,,,,
서울특별시,서11-2,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba,노원구,중계동 61-22,대지,평탄지,1971.10.12,450,502,2300,219,690,,,,,,
서울특별시,서11-3,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba,노원구,중계본동 75-36,도로,평탄지,1981.10.27,315,357,1800,140,440,,,,,,
서울특별시,서11-4,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba,노원구,중계본동 90-37,도로,평탄지,1981.10.27,315,357,1900,130,400,,,,,,
서울특별시,서11-7,1,노거목,정자목,느티나무,느티나무,Zelkova serrata,노원구,상계동 995-4,도로,평탄지,1981.10.27,215,257,1100,80,250,,,,,,
서울특별시,서11-8,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba,노원구,상계동 995,대지,평탄지,1981.10.27,215,257,1600,101,320,,,,,,
서울특별시,서11-9,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba,노원구,상계동 995-4,도로,평탄지,1981.10.27,165,207,1600,82,260,,,,,,
서울특별시,서11-10,1,노거목,정자목,느티나무,느티나무,Zelkova serrata,노원구,중계본동 43-18,하천,평탄지,1996.08.16,100,127,1000,80,240,,,,,,
